embedding_row	protein_id	rbp_name	species_abbrev	protein_acc	protein_length	embedding_dim	model	esm_layer	max_aa_len_per_chunk	n_chunks	fasta_header
82	HNRNPA1|HUMAN|P09651	HNRNPA1	HUMAN	P09651	372	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPA1|HUMAN|requested=P09651|resolved=P09651 sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5
83	HNRNPA2B1|HUMAN|P22626	HNRNPA2B1	HUMAN	P22626	353	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPA2B1|HUMAN|requested=P22626|resolved=P22626 sp|P22626|ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2
84	HNRNPC|HUMAN|P07910	HNRNPC	HUMAN	P07910	306	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPC|HUMAN|requested=P07910|resolved=P07910 sp|P07910|HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4
85	HNRNPD|HUMAN|Q14103	HNRNPD	HUMAN	Q14103	355	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPD|HUMAN|requested=Q14103|resolved=Q14103 sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1
86	HNRNPF|HUMAN|P52597	HNRNPF	HUMAN	P52597	415	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPF|HUMAN|requested=P52597|resolved=P52597 sp|P52597|HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3
87	HNRNPH|HUMAN|P31943	HNRNPH	HUMAN	P31943	449	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPH|HUMAN|requested=HNRNPH|resolved=P31943 sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4
88	HNRNPH1|HUMAN|P31943	HNRNPH1	HUMAN	P31943	449	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPH1|HUMAN|requested=P31943|resolved=P31943 sp|P31943|HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4
89	HNRNPK|HUMAN|P61978	HNRNPK	HUMAN	P61978	463	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPK|HUMAN|requested=P61978|resolved=P61978 sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1
90	HNRNPL|HUMAN|P14866	HNRNPL	HUMAN	P14866	589	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPL|HUMAN|requested=P14866|resolved=P14866 sp|P14866|HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2
91	HNRNPM|HUMAN|P52272	HNRNPM	HUMAN	P52272	730	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPM|HUMAN|requested=P52272|resolved=P52272 sp|P52272|HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3
92	HNRNPU|HUMAN|Q00839	HNRNPU	HUMAN	Q00839	825	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPU|HUMAN|requested=Q00839|resolved=Q00839 sp|Q00839|HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6
93	HNRNPUL1|HUMAN|Q9BUJ2	HNRNPUL1	HUMAN	Q9BUJ2	856	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPUL1|HUMAN|requested=Q9BUJ2|resolved=Q9BUJ2 sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2
94	IGF2BP1|HUMAN|Q9NZI8	IGF2BP1	HUMAN	Q9NZI8	577	1280	esm2_t33_650M_UR50D	33	1022	1	>IGF2BP1|HUMAN|requested=Q9NZI8|resolved=Q9NZI8 sp|Q9NZI8|IF2B1_HUMAN Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2
95	IGF2BP2|HUMAN|Q9Y6M1	IGF2BP2	HUMAN	Q9Y6M1	599	1280	esm2_t33_650M_UR50D	33	1022	1	>IGF2BP2|HUMAN|requested=Q9Y6M1|resolved=Q9Y6M1 sp|Q9Y6M1|IF2B2_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2
96	IGF2BP3|HUMAN|O00425	IGF2BP3	HUMAN	O00425	579	1280	esm2_t33_650M_UR50D	33	1022	1	>IGF2BP3|HUMAN|requested=O00425|resolved=O00425 sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2
97	ILF3|HUMAN|Q12906	ILF3	HUMAN	Q12906	894	1280	esm2_t33_650M_UR50D	33	1022	1	>ILF3|HUMAN|requested=Q12906|resolved=Q12906 sp|Q12906|ILF3_HUMAN Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3
98	IMP3|HUMAN|O00425	IMP3	HUMAN	O00425	579	1280	esm2_t33_650M_UR50D	33	1022	1	>IMP3|HUMAN|requested=O00425|resolved=O00425 sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2
99	KHDRBS1|HUMAN|Q07666	KHDRBS1	HUMAN	Q07666	443	1280	esm2_t33_650M_UR50D	33	1022	1	>KHDRBS1|HUMAN|requested=Q07666|resolved=Q07666 sp|Q07666|KHDR1_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1
100	KHSRP|HUMAN|Q92945	KHSRP	HUMAN	Q92945	711	1280	esm2_t33_650M_UR50D	33	1022	1	>KHSRP|HUMAN|requested=Q92945|resolved=Q92945 sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4
101	LARP4|HUMAN|Q71RC2	LARP4	HUMAN	Q71RC2	724	1280	esm2_t33_650M_UR50D	33	1022	1	>LARP4|HUMAN|requested=Q71RC2|resolved=Q71RC2 sp|Q71RC2|LARP4_HUMAN La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3
102	LARP7|HUMAN|Q4G0J3	LARP7	HUMAN	Q4G0J3	582	1280	esm2_t33_650M_UR50D	33	1022	1	>LARP7|HUMAN|requested=Q4G0J3|resolved=Q4G0J3 sp|Q4G0J3|LARP7_HUMAN La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1
103	LIN28A|HUMAN|Q9H9Z2	LIN28A	HUMAN	Q9H9Z2	209	1280	esm2_t33_650M_UR50D	33	1022	1	>LIN28A|HUMAN|requested=Q9H9Z2|resolved=Q9H9Z2 sp|Q9H9Z2|LN28A_HUMAN Protein lin-28 homolog A OS=Homo sapiens OX=9606 GN=LIN28A PE=1 SV=1
104	LIN28B|HUMAN|Q6ZN17	LIN28B	HUMAN	Q6ZN17	250	1280	esm2_t33_650M_UR50D	33	1022	1	>LIN28B|HUMAN|requested=Q6ZN17|resolved=Q6ZN17 sp|Q6ZN17|LN28B_HUMAN Protein lin-28 homolog B OS=Homo sapiens OX=9606 GN=LIN28B PE=1 SV=1
105	LSM11|HUMAN|P83369	LSM11	HUMAN	P83369	360	1280	esm2_t33_650M_UR50D	33	1022	1	>LSM11|HUMAN|requested=P83369|resolved=P83369 sp|P83369|LSM11_HUMAN U7 snRNA-associated Sm-like protein LSm11 OS=Homo sapiens OX=9606 GN=LSM11 PE=1 SV=2
106	MATR3|HUMAN|P43243	MATR3	HUMAN	P43243	847	1280	esm2_t33_650M_UR50D	33	1022	1	>MATR3|HUMAN|requested=P43243|resolved=P43243 sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2
107	MBNL2|HUMAN|Q5VZF2	MBNL2	HUMAN	Q5VZF2	373	1280	esm2_t33_650M_UR50D	33	1022	1	>MBNL2|HUMAN|requested=Q5VZF2|resolved=Q5VZF2 sp|Q5VZF2|MBNL2_HUMAN Muscleblind-like protein 2 OS=Homo sapiens OX=9606 GN=MBNL2 PE=1 SV=2
108	METAP2|HUMAN|P50579	METAP2	HUMAN	P50579	478	1280	esm2_t33_650M_UR50D	33	1022	1	>METAP2|HUMAN|requested=P50579|resolved=P50579 sp|P50579|MAP2_HUMAN Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1
109	METTL14|HUMAN|Q9HCE5	METTL14	HUMAN	Q9HCE5	456	1280	esm2_t33_650M_UR50D	33	1022	1	>METTL14|HUMAN|requested=Q9HCE5|resolved=Q9HCE5 sp|Q9HCE5|MET14_HUMAN N(6)-adenosine-methyltransferase non-catalytic subunit METTL14 OS=Homo sapiens OX=9606 GN=METTL14 PE=1 SV=2
110	METTL3|HUMAN|Q86U44	METTL3	HUMAN	Q86U44	580	1280	esm2_t33_650M_UR50D	33	1022	1	>METTL3|HUMAN|requested=Q86U44|resolved=Q86U44 sp|Q86U44|MTA70_HUMAN N(6)-adenosine-methyltransferase catalytic subunit METTL3 OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2
111	MKRN1|HUMAN|Q9UHC7	MKRN1	HUMAN	Q9UHC7	482	1280	esm2_t33_650M_UR50D	33	1022	1	>MKRN1|HUMAN|requested=Q9UHC7|resolved=Q9UHC7 sp|Q9UHC7|MKRN1_HUMAN E3 ubiquitin-protein ligase makorin-1 OS=Homo sapiens OX=9606 GN=MKRN1 PE=1 SV=3
112	MOV10|HUMAN|Q9HCE1	MOV10	HUMAN	Q9HCE1	1003	1280	esm2_t33_650M_UR50D	33	1022	1	>MOV10|HUMAN|requested=Q9HCE1|resolved=Q9HCE1 sp|Q9HCE1|MOV10_HUMAN Helicase MOV-10 OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=2
113	MTPAP|HUMAN|Q9NVV4	MTPAP	HUMAN	Q9NVV4	582	1280	esm2_t33_650M_UR50D	33	1022	1	>MTPAP|HUMAN|requested=Q9NVV4|resolved=Q9NVV4 sp|Q9NVV4|PAPD1_HUMAN Poly(A) RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=MTPAP PE=1 SV=1
114	NCBP2|HUMAN|P52298	NCBP2	HUMAN	P52298	156	1280	esm2_t33_650M_UR50D	33	1022	1	>NCBP2|HUMAN|requested=P52298|resolved=P52298 sp|P52298|NCBP2_HUMAN Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1
115	NCBP3|HUMAN|Q53F19	NCBP3	HUMAN	Q53F19	620	1280	esm2_t33_650M_UR50D	33	1022	1	>NCBP3|HUMAN|requested=Q53F19|resolved=Q53F19 sp|Q53F19|NCBP3_HUMAN Nuclear cap-binding protein subunit 3 OS=Homo sapiens OX=9606 GN=NCBP3 PE=1 SV=2
116	NIP7|HUMAN|Q9Y221	NIP7	HUMAN	Q9Y221	180	1280	esm2_t33_650M_UR50D	33	1022	1	>NIP7|HUMAN|requested=Q9Y221|resolved=Q9Y221 sp|Q9Y221|NIP7_HUMAN 60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1
117	NIPBL|HUMAN|Q6KC79	NIPBL	HUMAN	Q6KC79	2804	1280	esm2_t33_650M_UR50D	33	1022	3	>NIPBL|HUMAN|requested=Q6KC79|resolved=Q6KC79 sp|Q6KC79|NIPBL_HUMAN Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2
118	NKRF|HUMAN|O15226	NKRF	HUMAN	O15226	690	1280	esm2_t33_650M_UR50D	33	1022	1	>NKRF|HUMAN|requested=O15226|resolved=O15226 sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2
119	NOL12|HUMAN|Q9UGY1	NOL12	HUMAN	Q9UGY1	213	1280	esm2_t33_650M_UR50D	33	1022	1	>NOL12|HUMAN|requested=Q9UGY1|resolved=Q9UGY1 sp|Q9UGY1|NOL12_HUMAN Nucleolar protein 12 OS=Homo sapiens OX=9606 GN=NOL12 PE=1 SV=1
120	NOLC1|HUMAN|Q14978	NOLC1	HUMAN	Q14978	699	1280	esm2_t33_650M_UR50D	33	1022	1	>NOLC1|HUMAN|requested=Q14978|resolved=Q14978 sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2
121	NONO|HUMAN|Q15233	NONO	HUMAN	Q15233	471	1280	esm2_t33_650M_UR50D	33	1022	1	>NONO|HUMAN|requested=Q15233|resolved=Q15233 sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4
122	NOP56|HUMAN|O00567	NOP56	HUMAN	O00567	594	1280	esm2_t33_650M_UR50D	33	1022	1	>NOP56|HUMAN|requested=O00567|resolved=O00567 sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4
123	NOP58|HUMAN|Q9Y2X3	NOP58	HUMAN	Q9Y2X3	529	1280	esm2_t33_650M_UR50D	33	1022	1	>NOP58|HUMAN|requested=Q9Y2X3|resolved=Q9Y2X3 sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1
124	NPM1|HUMAN|A0A0S2Z491	NPM1	HUMAN	A0A0S2Z491	294	1280	esm2_t33_650M_UR50D	33	1022	1	>NPM1|HUMAN|requested=A0A0S2Z491|resolved=A0A0S2Z491 tr|A0A0S2Z491|A0A0S2Z491_HUMAN Nucleophosmin (Fragment) OS=Homo sapiens OX=9606 GN=NPM1 PE=2 SV=1
125	NSUN2|HUMAN|Q08J23	NSUN2	HUMAN	Q08J23	767	1280	esm2_t33_650M_UR50D	33	1022	1	>NSUN2|HUMAN|requested=Q08J23|resolved=Q08J23 sp|Q08J23|NSUN2_HUMAN RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2
126	NUDT21|HUMAN|O43809	NUDT21	HUMAN	O43809	227	1280	esm2_t33_650M_UR50D	33	1022	1	>NUDT21|HUMAN|requested=O43809|resolved=O43809 sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1
127	NXF1|HUMAN|Q9UBU9	NXF1	HUMAN	Q9UBU9	619	1280	esm2_t33_650M_UR50D	33	1022	1	>NXF1|HUMAN|requested=Q9UBU9|resolved=Q9UBU9 sp|Q9UBU9|NXF1_HUMAN Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1
128	PABPC4|HUMAN|Q13310	PABPC4	HUMAN	Q13310	644	1280	esm2_t33_650M_UR50D	33	1022	1	>PABPC4|HUMAN|requested=Q13310|resolved=Q13310 sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1
129	PABPN1|HUMAN|Q86U42	PABPN1	HUMAN	Q86U42	306	1280	esm2_t33_650M_UR50D	33	1022	1	>PABPN1|HUMAN|requested=Q86U42|resolved=Q86U42 sp|Q86U42|PABP2_HUMAN Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3
130	PCBP1|HUMAN|Q15365	PCBP1	HUMAN	Q15365	356	1280	esm2_t33_650M_UR50D	33	1022	1	>PCBP1|HUMAN|requested=Q15365|resolved=Q15365 sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2
131	PCBP2|HUMAN|Q15366	PCBP2	HUMAN	Q15366	365	1280	esm2_t33_650M_UR50D	33	1022	1	>PCBP2|HUMAN|requested=Q15366|resolved=Q15366 sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1
132	PHF6|HUMAN|Q8IWS0	PHF6	HUMAN	Q8IWS0	365	1280	esm2_t33_650M_UR50D	33	1022	1	>PHF6|HUMAN|requested=Q8IWS0|resolved=Q8IWS0 sp|Q8IWS0|PHF6_HUMAN PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1
133	POLR2G|HUMAN|P62487	POLR2G	HUMAN	P62487	172	1280	esm2_t33_650M_UR50D	33	1022	1	>POLR2G|HUMAN|requested=P62487|resolved=P62487 sp|P62487|RPB7_HUMAN DNA-directed RNA polymerase II subunit RPB7 OS=Homo sapiens OX=9606 GN=POLR2G PE=1 SV=1
134	PPIG|HUMAN|Q13427	PPIG	HUMAN	Q13427	754	1280	esm2_t33_650M_UR50D	33	1022	1	>PPIG|HUMAN|requested=Q13427|resolved=Q13427 sp|Q13427|PPIG_HUMAN Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2
135	PPIL4|HUMAN|Q8WUA2	PPIL4	HUMAN	Q8WUA2	492	1280	esm2_t33_650M_UR50D	33	1022	1	>PPIL4|HUMAN|requested=Q8WUA2|resolved=Q8WUA2 sp|Q8WUA2|PPIL4_HUMAN Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1
136	PRPF4|HUMAN|O43172	PRPF4	HUMAN	O43172	522	1280	esm2_t33_650M_UR50D	33	1022	1	>PRPF4|HUMAN|requested=O43172|resolved=O43172 sp|O43172|PRP4_HUMAN U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2
137	PRPF8|HUMAN|Q6P2Q9	PRPF8	HUMAN	Q6P2Q9	2335	1280	esm2_t33_650M_UR50D	33	1022	3	>PRPF8|HUMAN|requested=Q6P2Q9|resolved=Q6P2Q9 sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2
138	PTBP1|HUMAN|P26599	PTBP1	HUMAN	P26599	557	1280	esm2_t33_650M_UR50D	33	1022	1	>PTBP1|HUMAN|requested=P26599|resolved=P26599 sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=2
139	PUM1|HUMAN|Q14671	PUM1	HUMAN	Q14671	1186	1280	esm2_t33_650M_UR50D	33	1022	2	>PUM1|HUMAN|requested=Q14671|resolved=Q14671 sp|Q14671|PUM1_HUMAN Pumilio homolog 1 OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=3
140	PUM2|HUMAN|Q8TB72	PUM2	HUMAN	Q8TB72	1066	1280	esm2_t33_650M_UR50D	33	1022	2	>PUM2|HUMAN|requested=Q8TB72|resolved=Q8TB72 sp|Q8TB72|PUM2_HUMAN Pumilio homolog 2 OS=Homo sapiens OX=9606 GN=PUM2 PE=1 SV=2
141	PUS1|HUMAN|Q9Y606	PUS1	HUMAN	Q9Y606	427	1280	esm2_t33_650M_UR50D	33	1022	1	>PUS1|HUMAN|requested=Q9Y606|resolved=Q9Y606 sp|Q9Y606|PUS1_HUMAN Pseudouridylate synthase 1 homolog OS=Homo sapiens OX=9606 GN=PUS1 PE=1 SV=3
142	QKI|HUMAN|Q96PU8	QKI	HUMAN	Q96PU8	341	1280	esm2_t33_650M_UR50D	33	1022	1	>QKI|HUMAN|requested=Q96PU8|resolved=Q96PU8 sp|Q96PU8|QKI_HUMAN KH domain-containing RNA-binding protein QKI OS=Homo sapiens OX=9606 GN=QKI PE=1 SV=1
143	RBFOX1|HUMAN|Q9NWB1	RBFOX1	HUMAN	Q9NWB1	397	1280	esm2_t33_650M_UR50D	33	1022	1	>RBFOX1|HUMAN|requested=Q9NWB1|resolved=Q9NWB1 sp|Q9NWB1|RFOX1_HUMAN RNA binding protein fox-1 homolog 1 OS=Homo sapiens OX=9606 GN=RBFOX1 PE=1 SV=2
144	RBFOX2|HUMAN|O43251	RBFOX2	HUMAN	O43251	390	1280	esm2_t33_650M_UR50D	33	1022	1	>RBFOX2|HUMAN|requested=O43251|resolved=O43251 sp|O43251|RFOX2_HUMAN RNA binding protein fox-1 homolog 2 OS=Homo sapiens OX=9606 GN=RBFOX2 PE=1 SV=3
145	RBM10|HUMAN|P98175	RBM10	HUMAN	P98175	930	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM10|HUMAN|requested=P98175|resolved=P98175 sp|P98175|RBM10_HUMAN RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10 PE=1 SV=3
146	RBM15|HUMAN|Q96T37	RBM15	HUMAN	Q96T37	977	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM15|HUMAN|requested=Q96T37|resolved=Q96T37 sp|Q96T37|RBM15_HUMAN RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2
147	RBM15B|HUMAN|Q8NDT2	RBM15B	HUMAN	Q8NDT2	890	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM15B|HUMAN|requested=Q8NDT2|resolved=Q8NDT2 sp|Q8NDT2|RB15B_HUMAN Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3
148	RBM22|HUMAN|Q9NW64	RBM22	HUMAN	Q9NW64	420	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM22|HUMAN|requested=Q9NW64|resolved=Q9NW64 sp|Q9NW64|RBM22_HUMAN Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1
149	RBM47|HUMAN|A0AV96	RBM47	HUMAN	A0AV96	593	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM47|HUMAN|requested=A0AV96|resolved=A0AV96 sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2
150	RBM5|HUMAN|P52756	RBM5	HUMAN	P52756	815	1280	esm2_t33_650M_UR50D	33	1022	1	>RBM5|HUMAN|requested=P52756|resolved=P52756 sp|P52756|RBM5_HUMAN RNA-binding protein 5 OS=Homo sapiens OX=9606 GN=RBM5 PE=1 SV=2
151	RBPMS|HUMAN|Q93062	RBPMS	HUMAN	Q93062	196	1280	esm2_t33_650M_UR50D	33	1022	1	>RBPMS|HUMAN|requested=Q93062|resolved=Q93062 sp|Q93062|RBPMS_HUMAN RNA-binding protein with multiple splicing OS=Homo sapiens OX=9606 GN=RBPMS PE=1 SV=1
152	RPS11|HUMAN|P62280	RPS11	HUMAN	P62280	158	1280	esm2_t33_650M_UR50D	33	1022	1	>RPS11|HUMAN|requested=P62280|resolved=P62280 sp|P62280|RS11_HUMAN Small ribosomal subunit protein uS17 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3
153	RPS3|HUMAN|P23396	RPS3	HUMAN	P23396	243	1280	esm2_t33_650M_UR50D	33	1022	1	>RPS3|HUMAN|requested=P23396|resolved=P23396 sp|P23396|RS3_HUMAN Small ribosomal subunit protein uS3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2
154	RTCB|HUMAN|Q9Y3I0	RTCB	HUMAN	Q9Y3I0	505	1280	esm2_t33_650M_UR50D	33	1022	1	>RTCB|HUMAN|requested=Q9Y3I0|resolved=Q9Y3I0 sp|Q9Y3I0|RTCB_HUMAN RNA-splicing ligase RTCB OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1
155	SAFB|HUMAN|Q15424	SAFB	HUMAN	Q15424	915	1280	esm2_t33_650M_UR50D	33	1022	1	>SAFB|HUMAN|requested=Q15424|resolved=Q15424 sp|Q15424|SAFB1_HUMAN Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4
156	SAFB2|HUMAN|Q14151	SAFB2	HUMAN	Q14151	953	1280	esm2_t33_650M_UR50D	33	1022	1	>SAFB2|HUMAN|requested=Q14151|resolved=Q14151 sp|Q14151|SAFB2_HUMAN Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1
157	SDAD1|HUMAN|Q9NVU7	SDAD1	HUMAN	Q9NVU7	687	1280	esm2_t33_650M_UR50D	33	1022	1	>SDAD1|HUMAN|requested=Q9NVU7|resolved=Q9NVU7 sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3
158	SDOS|HUMAN|Q9BRJ7	SDOS	HUMAN	Q9BRJ7	211	1280	esm2_t33_650M_UR50D	33	1022	1	>SDOS|HUMAN|requested=Q9BRJ7|resolved=Q9BRJ7 sp|Q9BRJ7|TIRR_HUMAN Tudor-interacting repair regulator protein OS=Homo sapiens OX=9606 GN=NUDT16L1 PE=1 SV=1
159	SERBP1|HUMAN|Q8NC51	SERBP1	HUMAN	Q8NC51	408	1280	esm2_t33_650M_UR50D	33	1022	1	>SERBP1|HUMAN|requested=Q8NC51|resolved=Q8NC51 sp|Q8NC51|SERB1_HUMAN SERPINE1 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2
160	SF3A3|HUMAN|Q12874	SF3A3	HUMAN	Q12874	501	1280	esm2_t33_650M_UR50D	33	1022	1	>SF3A3|HUMAN|requested=Q12874|resolved=Q12874 sp|Q12874|SF3A3_HUMAN Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1
161	SF3B1|HUMAN|O75533	SF3B1	HUMAN	O75533	1304	1280	esm2_t33_650M_UR50D	33	1022	2	>SF3B1|HUMAN|requested=O75533|resolved=O75533 sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3
162	SF3B4|HUMAN|Q15427	SF3B4	HUMAN	Q15427	424	1280	esm2_t33_650M_UR50D	33	1022	1	>SF3B4|HUMAN|requested=Q15427|resolved=Q15427 sp|Q15427|SF3B4_HUMAN Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1
163	SFPQ|HUMAN|P23246	SFPQ	HUMAN	P23246	707	1280	esm2_t33_650M_UR50D	33	1022	1	>SFPQ|HUMAN|requested=P23246|resolved=P23246 sp|P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2
